"BPrev","BStreak","B_Age","B_Height","B_ID","B_Location","B_Weight","B_Total_Grappling_Reversals_Landed","B_Total_Grappling_Standups_Landed","B_Total_Grappling_Submissions_Attempts","B_Total_Grappling_Takedowns_Attempts","B_Total_Grappling_Takedowns_Landed","B_Total_Strikes_Body Significant Strikes_Attempts","B_Total_Strikes_Body Significant Strikes_Landed","B_Total_Strikes_Body Total Strikes_Attempts","B_Total_Strikes_Body Total Strikes_Landed","B_Total_Strikes_Clinch Body Strikes_Attempts","B_Total_Strikes_Clinch Body Strikes_Landed","B_Total_Strikes_Clinch Head Strikes_Attempts","B_Total_Strikes_Clinch Head Strikes_Landed","B_Total_Strikes_Clinch Leg Strikes_Attempts","B_Total_Strikes_Clinch Leg Strikes_Landed","B_Total_Strikes_Clinch Significant Kicks_Attempts","B_Total_Strikes_Clinch Significant Kicks_Landed","B_Total_Strikes_Clinch Significant Punches_Attempts","B_Total_Strikes_Clinch Significant Punches_Landed","B_Total_Strikes_Clinch Significant Strikes_Attempts","B_Total_Strikes_Clinch Significant Strikes_Landed","B_Total_Strikes_Clinch Total Strikes_Attempts","B_Total_Strikes_Clinch Total Strikes_Landed","B_Total_Strikes_Distance Body Kicks_Attempts","B_Total_Strikes_Distance Body Kicks_Landed","B_Total_Strikes_Distance Body Punches_Attempts","B_Total_Strikes_Distance Body Punches_Landed","B_Total_Strikes_Distance Body Strikes_Attempts","B_Total_Strikes_Distance Body Strikes_Landed","B_Total_Strikes_Distance Head Kicks_Attempts","B_Total_Strikes_Distance Head Kicks_Landed","B_Total_Strikes_Distance Head Punches_Attempts","B_Total_Strikes_Distance Head Punches_Landed","B_Total_Strikes_Distance Head Strikes_Attempts","B_Total_Strikes_Distance Head Strikes_Landed","B_Total_Strikes_Distance Leg Kicks_Attempts","B_Total_Strikes_Distance Leg Kicks_Landed","B_Total_Strikes_Distance Leg Strikes_Attempts","B_Total_Strikes_Distance Leg Strikes_Landed","B_Total_Strikes_Distance Strikes_Attempts","B_Total_Strikes_Distance Strikes_Landed","B_Total_Strikes_Ground Body Strikes_Attempts","B_Total_Strikes_Ground Body Strikes_Landed","B_Total_Strikes_Ground Head Strikes_Attempts","B_Total_Strikes_Ground Head Strikes_Landed","B_Total_Strikes_Ground Leg Strikes_Attempts","B_Total_Strikes_Ground Leg Strikes_Landed","B_Total_Strikes_Ground Significant Kicks_Attempts","B_Total_Strikes_Ground Significant Kicks_Landed","B_Total_Strikes_Ground Significant Punches_Attempts","B_Total_Strikes_Ground Significant Punches_Landed","B_Total_Strikes_Ground Significant Strikes_Attempts","B_Total_Strikes_Ground Significant Strikes_Landed","B_Total_Strikes_Ground Total Strikes_Attempts","B_Total_Strikes_Ground Total Strikes_Landed","B_Total_Strikes_Head Significant Strikes_Attempts","B_Total_Strikes_Head Significant Strikes_Landed","B_Total_Strikes_Head Total Strikes_Attempts","B_Total_Strikes_Head Total Strikes_Landed","B_Total_Strikes_Kicks_Attempts","B_Total_Strikes_Kicks_Landed","B_Total_Strikes_Knock Down_Landed","B_Total_Strikes_Leg Total Strikes_Attempts","B_Total_Strikes_Leg Total Strikes_Landed","B_Total_Strikes_Legs Significant Strikes_Attempts","B_Total_Strikes_Legs Significant Strikes_Landed","B_Total_Strikes_Legs Total Strikes_Attempts","B_Total_Strikes_Legs Total Strikes_Landed","B_Total_Strikes_Punches_Attempts","B_Total_Strikes_Punches_Landed","B_Total_Strikes_Significant Strikes_Attempts","B_Total_Strikes_Significant Strikes_Landed","B_Total_Strikes_Total Strikes_Attempts","B_Total_Strikes_Total Strikes_Landed","B_Total_TIP_Back Control Time","B_Total_TIP_Clinch Time","B_Total_TIP_Control Time","B_Total_TIP_Distance Time","B_Total_TIP_Ground Control Time","B_Total_TIP_Ground Time","B_Total_TIP_Guard Control Time","B_Total_TIP_Half Guard Control Time","B_Total_TIP_Misc. Ground Control Time","B_Total_TIP_Mount Control Time","B_Total_TIP_Neutral Time","B_Total_TIP_Side Control Time","B_Total_TIP_Standing Time","Max_round","RPrev","RStreak","R_Age","R_Height","R_ID","R_Location","R_Weight","R_Total_Grappling_Reversals_Landed","R_Total_Grappling_Standups_Landed","R_Total_Grappling_Submissions_Attempts","R_Total_Grappling_Takedowns_Attempts","R_Total_Grappling_Takedowns_Landed","R_Total_Strikes_Body Significant Strikes_Attempts","R_Total_Strikes_Body Significant Strikes_Landed","R_Total_Strikes_Body Total Strikes_Attempts","R_Total_Strikes_Body Total Strikes_Landed","R_Total_Strikes_Clinch Body Strikes_Attempts","R_Total_Strikes_Clinch Body Strikes_Landed","R_Total_Strikes_Clinch Head Strikes_Attempts","R_Total_Strikes_Clinch Head Strikes_Landed","R_Total_Strikes_Clinch Leg Strikes_Attempts","R_Total_Strikes_Clinch Leg Strikes_Landed","R_Total_Strikes_Clinch Significant Kicks_Attempts","R_Total_Strikes_Clinch Significant Kicks_Landed","R_Total_Strikes_Clinch Significant Punches_Attempts","R_Total_Strikes_Clinch Significant Punches_Landed","R_Total_Strikes_Clinch Significant Strikes_Attempts","R_Total_Strikes_Clinch Significant Strikes_Landed","R_Total_Strikes_Clinch Total Strikes_Attempts","R_Total_Strikes_Clinch Total Strikes_Landed","R_Total_Strikes_Distance Body Kicks_Attempts","R_Total_Strikes_Distance Body Kicks_Landed","R_Total_Strikes_Distance Body Punches_Attempts","R_Total_Strikes_Distance Body Punches_Landed","R_Total_Strikes_Distance Body Strikes_Attempts","R_Total_Strikes_Distance Body Strikes_Landed","R_Total_Strikes_Distance Head Kicks_Attempts","R_Total_Strikes_Distance Head Kicks_Landed","R_Total_Strikes_Distance Head Punches_Attempts","R_Total_Strikes_Distance Head Punches_Landed","R_Total_Strikes_Distance Head Strikes_Attempts","R_Total_Strikes_Distance Head Strikes_Landed","R_Total_Strikes_Distance Leg Kicks_Attempts","R_Total_Strikes_Distance Leg Kicks_Landed","R_Total_Strikes_Distance Leg Strikes_Attempts","R_Total_Strikes_Distance Leg Strikes_Landed","R_Total_Strikes_Distance Strikes_Attempts","R_Total_Strikes_Distance Strikes_Landed","R_Total_Strikes_Ground Body Strikes_Attempts","R_Total_Strikes_Ground Body Strikes_Landed","R_Total_Strikes_Ground Head Strikes_Attempts","R_Total_Strikes_Ground Head Strikes_Landed","R_Total_Strikes_Ground Leg Strikes_Attempts","R_Total_Strikes_Ground Leg Strikes_Landed","R_Total_Strikes_Ground Significant Kicks_Attempts","R_Total_Strikes_Ground Significant Kicks_Landed","R_Total_Strikes_Ground Significant Punches_Attempts","R_Total_Strikes_Ground Significant Punches_Landed","R_Total_Strikes_Ground Significant Strikes_Attempts","R_Total_Strikes_Ground Significant Strikes_Landed","R_Total_Strikes_Ground Total Strikes_Attempts","R_Total_Strikes_Ground Total Strikes_Landed","R_Total_Strikes_Head Significant Strikes_Attempts","R_Total_Strikes_Head Significant Strikes_Landed","R_Total_Strikes_Head Total Strikes_Attempts","R_Total_Strikes_Head Total Strikes_Landed","R_Total_Strikes_Kicks_Attempts","R_Total_Strikes_Kicks_Landed","R_Total_Strikes_Knock Down_Landed","R_Total_Strikes_Leg Total Strikes_Attempts","R_Total_Strikes_Leg Total Strikes_Landed","R_Total_Strikes_Legs Significant Strikes_Attempts","R_Total_Strikes_Legs Significant Strikes_Landed","R_Total_Strikes_Legs Total Strikes_Attempts","R_Total_Strikes_Legs Total Strikes_Landed","R_Total_Strikes_Punches_Attempts","R_Total_Strikes_Punches_Landed","R_Total_Strikes_Significant Strikes_Attempts","R_Total_Strikes_Significant Strikes_Landed","R_Total_Strikes_Total Strikes_Attempts","R_Total_Strikes_Total Strikes_Landed","R_Total_TIP_Back Control Time","R_Total_TIP_Clinch Time","R_Total_TIP_Control Time","R_Total_TIP_Distance Time","R_Total_TIP_Ground Control Time","R_Total_TIP_Ground Time","R_Total_TIP_Guard Control Time","R_Total_TIP_Half Guard Control Time","R_Total_TIP_Misc. Ground Control Time","R_Total_TIP_Mount Control Time","R_Total_TIP_Neutral Time","R_Total_TIP_Side Control Time","R_Total_TIP_Standing Time","winner"
"1","1","23","182","2783","Mezzocorona Italy","84","0","1","1","1","1","0","0","11","11","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","4","2","0","0","0","0","4","2","0","0","10","8","0","0","0","0","0","0","10","8","63","47","14","10","57","39","0","0","0","0","0","0","0","0","0","0","0","14","10","68","50","0","27","207","38","196","205","183","0","0","13","43","0","65","3","6","1","27","187","2246","Coconut Creek, Florida United States","84","1","2","4","39","19","46","34","65","52","10","10","7","3","4","3","0","0","0","0","21","16","32","27","0","0","0","0","30","18","0","0","0","0","190","57","0","0","7","6","227","81","6","6","48","33","1","1","0","0","0","0","55","40","210","162","245","93","385","201","0","0","0","0","0","12","10","19","17","0","0","303","137","469","270","600","704","1978","1206","1567","2457","71","304","0","562","1330","30","1910","red"
"0","0","32","175","2208","Pharr, Texas USA","70","0","0","0","2","0","7","5","11","8","1","1","3","2","0","0","0","0","0","0","6","4","10","8","0","0","1","0","5","3","0","0","13","4","40","12","1","0","4","3","50","18","0","0","5","3","0","0","0","0","1","1","5","4","16","13","49","17","59","26","4","2","0","0","0","4","3","5","4","20","10","62","27","77","40","7","70","97","274","69","133","17","12","6","20","283","4","324","3","0","0","29","182","2039","Fort Hood, TX USA","70","0","0","0","2","0","9","6","13","9","2","1","4","2","0","0","0","0","0","0","7","4","12","9","1","0","1","0","6","3","0","0","14","5","43","12","1","1","5","4","55","20","0","0","6","4","0","0","0","0","1","1","6","4","18","14","54","19","65","28","4","3","0","0","0","6","5","6","5","21","10","69","30","86","44","9","83","112","294","77","146","20","14","6","20","308","6","376","blue"
"2","0","38","172","721","Tokyo Japan","70","1","1","0","0","0","38","24","41","27","6","4","3","3","5","5","7","6","1","0","8","6","14","12","0","0","33","21","34","22","0","0","191","83","194","83","7","5","7","5","235","110","1","1","11","8","0","0","0","0","0","0","0","0","12","9","194","83","208","94","15","12","0","0","0","11","9","12","10","242","118","243","116","261","131","39","220","233","639","104","137","40","11","14","0","685","0","859","3","2","0","32","177","524","Bridgewater, Massachusetts USA","70","0","2","0","8","2","5","4","17","16","1","1","4","3","0","0","2","1","6","4","5","4","14","13","1","1","3","3","3","2","0","0","19","7","108","39","0","0","1","1","112","42","1","1","9","6","0","0","0","0","11","9","10","7","26","19","121","48","133","56","3","2","0","0","0","1","1","2","2","50","32","127","53","152","74","86","172","166","618","105","162","0","0","19","0","676","0","790","red"
"0","0","23","170","2825","Tijuana Mexico","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","4","25","175","2166","Kapolei, HI USA","56","5","13","15","31","11","89","70","128","108","44","34","19","9","10","9","0","0","0","0","73","52","101","79","0","0","0","0","35","27","0","0","0","0","386","121","0","0","15","15","436","163","10","9","213","141","0","0","0","0","0","0","223","150","327","244","618","271","699","342","0","0","1","3","3","25","24","34","33","0","0","732","365","864","486","258","638","2005","1431","1644","2437","311","379","0","544","1601","152","2069","blue"
"3","1","30","167","2260","Spokane, WA USA","61","0","2","1","7","2","26","12","35","21","3","2","16","2","1","1","0","0","0","0","20","5","25","10","0","0","0","0","21","8","0","0","0","0","331","91","0","0","11","10","363","109","2","2","40","25","0","0","0","0","0","0","42","27","107","84","387","118","448","171","0","0","0","0","0","12","11","12","11","0","0","425","141","495","203","92","274","840","535","780","1032","197","107","0","228","601","156","809","3","5","2","28","170","2150","Colorado Spring, Colorado United States","61","0","6","4","16","5","74","56","90","72","49","42","81","47","7","7","31","29","7","5","137","96","173","132","2","2","3","3","25","14","0","0","120","33","301","92","6","6","37","31","363","137","0","0","14","10","0","0","0","0","11","10","14","10","42","35","396","149","439","189","44","42","0","13","13","44","38","36","30","149","58","514","243","578","304","12","1151","440","1951","146","492","58","12","24","40","2260","0","3102","red"
"0","0","38","180","1918","Stockholm Sweden","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","0","30","180","2036","Bushmills Northern Ireland","70","0","2","0","32","6","48","27","61","38","20","16","36","18","7","7","0","0","0","0","63","41","129","98","0","0","0","0","27","10","0","0","0","0","253","49","0","0","37","14","317","73","1","1","49","24","0","0","0","0","0","0","50","25","63","37","338","91","379","126","0","0","0","0","0","44","21","69","44","0","0","430","139","509","208","158","1090","1204","1680","438","456","10","50","0","152","1842","68","2770","red"
"2","1","30","182","2507","Kelowna, BC Canada","70","1","2","0","8","2","23","13","25","15","2","1","9","5","0","0","0","0","0","0","11","6","18","12","0","0","0","0","20","11","0","0","0","0","54","17","0","0","24","21","98","49","1","1","12","9","4","4","0","0","0","0","17","14","44","37","75","31","100","52","0","0","0","0","0","28","25","35","31","0","0","126","69","160","98","54","332","288","366","242","498","19","0","0","169","433","0","698","3","4","1","30","187","1096","Lee's Summit, Missouri USA","70","0","3","1","16","1","49","30","50","31","9","5","5","0","1","1","1","1","1","0","15","6","30","20","15","8","0","0","38","23","4","0","134","57","320","118","11","8","41","27","399","168","2","2","4","1","0","0","0","0","0","0","6","3","21","13","329","119","351","135","33","19","0","0","0","42","28","49","35","139","61","420","177","450","201","8","321","206","1384","51","179","0","0","36","7","1463","0","1705","red"
"0","0","27","177","2262","Jefferson, Iowa USA","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","30","180","2044","Tokyo Japan","70","0","3","0","7","3","2","2","2","2","1","1","22","11","0","0","0","0","0","0","23","12","23","12","0","0","0","0","1","1","0","0","0","0","14","3","0","0","1","1","16","5","0","0","16","14","0","0","0","0","0","0","16","14","135","114","52","28","171","128","0","0","0","1","1","1","1","0","0","0","0","55","31","174","131","77","125","468","122","401","655","0","120","0","204","126","0","247","blue"
"1","0","34","177","1817","Bellefontaine, Ohio USA","70","0","3","1","0","0","8","3","8","3","2","1","14","7","0","0","0","0","0","0","16","8","16","8","0","0","0","0","6","2","0","0","0","0","48","11","0","0","3","2","57","15","0","0","3","2","0","0","0","0","0","0","3","2","4","3","65","20","66","21","0","0","0","3","2","3","2","0","0","0","0","76","25","77","26","0","20","26","591","26","311","2","0","0","24","605","0","611","3","3","0","31","177","1982","Bridgewater, Massachusetts USA","70","0","1","1","0","0","21","12","21","12","4","4","15","9","1","0","0","0","0","0","20","13","25","17","5","4","10","7","17","8","7","2","90","31","233","63","15","13","22","17","272","88","0","0","9","6","0","0","0","0","5","5","9","6","17","11","257","78","270","87","29","21","1","8","6","23","17","15","11","111","49","301","107","314","116","0","151","17","1357","7","173","0","0","3","4","1371","0","1508","red"
"2","1","33","182","2080","São Paulo Brazil","77","0","0","0","4","1","47","31","49","33","18","16","15","8","2","2","0","0","0","0","35","26","52","42","0","0","0","0","29","15","0","0","0","0","149","36","0","0","18","14","196","65","0","0","21","11","0","0","0","0","0","0","21","11","54","41","185","55","231","98","0","0","1","5","4","20","16","17","13","0","0","252","102","302","148","0","175","149","1121","145","493","145","0","0","0","1159","0","1296","3","4","1","28","182","2228","North Shore , Sydney Australia","77","0","1","0","9","5","60","43","107","88","23","18","61","37","11","11","0","0","0","0","95","66","196","161","0","0","0","0","32","20","0","0","0","0","185","59","0","0","43","35","260","114","5","5","55","46","2","2","0","0","0","0","62","53","137","120","301","142","393","224","0","0","2","0","0","56","48","93","83","0","0","417","233","593","395","51","503","636","820","388","661","0","17","0","308","855","12","1323","blue"
