CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib_implementation.py
MEM 0.195312 1543729611.5158
MEM 9.890625 1543729611.6209
MEM 15.917969 1543729611.7252
MEM 21.777344 1543729611.8298
MEM 28.878906 1543729611.9344
MEM 42.050781 1543729612.0395
MEM 47.027344 1543729612.1416
MEM 51.074219 1543729612.2419
MEM 54.699219 1543729612.3439
MEM 57.593750 1543729612.4481
MEM 61.878906 1543729612.5530
MEM 66.011719 1543729612.6542
MEM 70.066406 1543729612.7560
MEM 77.054688 1543729612.8563
MEM 79.546875 1543729612.9566
MEM 83.542969 1543729613.0587
MEM 83.570312 1543729613.1589
MEM 83.570312 1543729613.2595
MEM 83.609375 1543729613.3624
MEM 83.609375 1543729613.4675
MEM 83.632812 1543729613.5713
MEM 83.644531 1543729613.6745
MEM 83.644531 1543729613.7787
MEM 83.644531 1543729613.8831
MEM 83.644531 1543729613.9858
MEM 83.656250 1543729614.0870
MEM 83.656250 1543729614.1898
MEM 83.656250 1543729614.2914
MEM 83.656250 1543729614.3963
MEM 83.656250 1543729614.5000
MEM 83.664062 1543729614.6045
MEM 83.664062 1543729614.7090
MEM 83.664062 1543729614.8092
MEM 83.664062 1543729614.9095
MEM 83.667969 1543729615.0108
MEM 83.671875 1543729615.1122
MEM 83.671875 1543729615.2135
MEM 83.671875 1543729615.3185
MEM 83.671875 1543729615.4211
MEM 83.679688 1543729615.5259
MEM 83.679688 1543729615.6268
MEM 83.679688 1543729615.7272
MEM 83.679688 1543729615.8288
MEM 83.679688 1543729615.9290
MEM 83.679688 1543729616.0325
MEM 83.679688 1543729616.1329
MEM 83.679688 1543729616.2348
MEM 83.679688 1543729616.3385
MEM 83.679688 1543729616.4430
MEM 83.679688 1543729616.5439
MEM 83.679688 1543729616.6441
MEM 83.679688 1543729616.7453
MEM 83.679688 1543729616.8504
MEM 83.687500 1543729616.9523
MEM 83.691406 1543729617.0566
MEM 83.691406 1543729617.1608
MEM 83.691406 1543729617.2614
