CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib2.py
MEM 83.878906 1543730760.2075
MEM 83.878906 1543730760.3103
MEM 83.878906 1543730760.4110
MEM 83.878906 1543730760.5125
MEM 83.878906 1543730760.6136
MEM 83.878906 1543730760.7188
MEM 83.882812 1543730760.8239
MEM 83.882812 1543730760.9274
MEM 83.882812 1543730761.0300
MEM 83.886719 1543730761.1348
MEM 83.886719 1543730761.2398
MEM 83.886719 1543730761.3403
MEM 83.886719 1543730761.4456
MEM 83.886719 1543730761.5506
MEM 83.886719 1543730761.6533
MEM 83.890625 1543730761.7539
MEM 83.890625 1543730761.8577
MEM 83.890625 1543730761.9604
MEM 83.890625 1543730762.0650
MEM 83.890625 1543730762.1682
MEM 83.890625 1543730762.2733
MEM 83.890625 1543730762.3739
MEM 83.890625 1543730762.4744
MEM 83.890625 1543730762.5749
MEM 83.890625 1543730762.6753
MEM 83.890625 1543730762.7783
MEM 83.890625 1543730762.8834
MEM 83.890625 1543730762.9873
MEM 83.890625 1543730763.0890
MEM 83.890625 1543730763.1904
MEM 83.890625 1543730763.2957
MEM 83.890625 1543730763.3999
MEM 86.058594 1543730763.5052
MEM 86.074219 1543730763.6072
MEM 86.078125 1543730763.7076
MEM 86.078125 1543730763.8085
MEM 86.082031 1543730763.9113
MEM 86.082031 1543730764.0156
MEM 86.082031 1543730764.1171
MEM 86.082031 1543730764.2190
MEM 86.082031 1543730764.3235
MEM 86.082031 1543730764.4240
MEM 86.082031 1543730764.5263
MEM 86.082031 1543730764.6273
MEM 86.082031 1543730764.7299
MEM 86.082031 1543730764.8350
MEM 86.082031 1543730764.9353
MEM 86.082031 1543730765.0403
MEM 86.082031 1543730765.1440
MEM 86.082031 1543730765.2461
MEM 86.082031 1543730765.3472
MEM 86.082031 1543730765.4504
MEM 86.082031 1543730765.5519
MEM 86.082031 1543730765.6560
MEM 86.082031 1543730765.7569
MEM 86.082031 1543730765.8579
MEM 86.082031 1543730765.9606
MEM 86.082031 1543730766.0623
MEM 86.082031 1543730766.1674
MEM 86.082031 1543730766.2723
MEM 86.082031 1543730766.3756
MEM 86.082031 1543730766.4767
MEM 86.082031 1543730766.5782
MEM 86.082031 1543730766.6814
MEM 86.082031 1543730766.7864
MEM 86.082031 1543730766.8905
MEM 86.082031 1543730766.9912
MEM 86.082031 1543730767.0921
MEM 86.082031 1543730767.1972
MEM 86.082031 1543730767.2995
MEM 86.082031 1543730767.4038
MEM 86.082031 1543730767.5049
MEM 86.082031 1543730767.6071
MEM 86.085938 1543730767.7110
MEM 86.085938 1543730767.8129
MEM 86.085938 1543730767.9163
MEM 86.085938 1543730768.0178
MEM 86.085938 1543730768.1217
