CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib_implementation.py
MEM 0.144531 1543730193.4301
MEM 8.964844 1543730193.5339
MEM 14.359375 1543730193.6343
MEM 20.589844 1543730193.7346
MEM 25.414062 1543730193.8366
MEM 35.121094 1543730193.9414
MEM 45.718750 1543730194.0466
MEM 49.144531 1543730194.1478
MEM 53.031250 1543730194.2517
MEM 54.914062 1543730194.3547
MEM 57.496094 1543730194.4591
MEM 61.437500 1543730194.5594
MEM 65.324219 1543730194.6608
MEM 68.652344 1543730194.7610
MEM 77.187500 1543730194.8652
MEM 79.023438 1543730194.9683
MEM 83.667969 1543730195.0726
MEM 83.667969 1543730195.1737
MEM 83.687500 1543730195.2776
MEM 83.714844 1543730195.3815
MEM 83.714844 1543730195.4857
MEM 83.714844 1543730195.5905
MEM 83.714844 1543730195.6955
MEM 83.738281 1543730195.7980
MEM 83.738281 1543730195.9032
MEM 83.738281 1543730196.0069
MEM 83.765625 1543730196.1121
MEM 83.765625 1543730196.2146
MEM 83.765625 1543730196.3151
MEM 83.769531 1543730196.4176
MEM 83.769531 1543730196.5200
MEM 83.769531 1543730196.6210
MEM 83.769531 1543730196.7227
MEM 83.769531 1543730196.8253
MEM 83.769531 1543730196.9293
MEM 83.769531 1543730197.0341
MEM 83.769531 1543730197.1392
MEM 83.769531 1543730197.2438
MEM 83.769531 1543730197.3483
MEM 83.769531 1543730197.4490
MEM 83.769531 1543730197.5537
MEM 83.769531 1543730197.6569
MEM 83.769531 1543730197.7595
MEM 83.773438 1543730197.8645
MEM 83.773438 1543730197.9691
MEM 83.773438 1543730198.0695
MEM 83.773438 1543730198.1702
MEM 83.773438 1543730198.2710
MEM 83.773438 1543730198.3743
MEM 83.773438 1543730198.4790
MEM 83.773438 1543730198.5833
MEM 83.773438 1543730198.6840
MEM 83.773438 1543730198.7861
MEM 83.773438 1543730198.8903
MEM 83.773438 1543730198.9919
MEM 83.773438 1543730199.0956
MEM 83.773438 1543730199.1975
MEM 83.773438 1543730199.2983
MEM 83.773438 1543730199.4012
MEM 83.773438 1543730199.5051
MEM 83.773438 1543730199.6068
MEM 83.773438 1543730199.7110
MEM 83.773438 1543730199.8144
MEM 83.773438 1543730199.9149
MEM 83.777344 1543730200.0167
MEM 83.777344 1543730200.1219
MEM 83.777344 1543730200.2245
MEM 83.781250 1543730200.3256
MEM 83.781250 1543730200.4280
MEM 83.781250 1543730200.5319
MEM 83.781250 1543730200.6329
MEM 83.781250 1543730200.7342
MEM 83.781250 1543730200.8367
MEM 83.781250 1543730200.9403
MEM 83.781250 1543730201.0418
MEM 83.781250 1543730201.1442
MEM 83.781250 1543730201.2466
MEM 83.781250 1543730201.3486
MEM 83.781250 1543730201.4515
MEM 83.792969 1543730201.5551
MEM 83.792969 1543730201.6599
MEM 83.792969 1543730201.7642
MEM 83.792969 1543730201.8647
MEM 83.792969 1543730201.9654
MEM 83.792969 1543730202.0706
MEM 83.792969 1543730202.1726
MEM 83.792969 1543730202.2728
MEM 83.792969 1543730202.3731
MEM 83.792969 1543730202.4734
MEM 83.792969 1543730202.5766
MEM 83.792969 1543730202.6769
MEM 83.792969 1543730202.7811
MEM 83.792969 1543730202.8846
MEM 83.792969 1543730202.9887
MEM 83.792969 1543730203.0920
MEM 83.792969 1543730203.1937
MEM 83.792969 1543730203.2989
MEM 83.792969 1543730203.4041
MEM 83.792969 1543730203.5067
MEM 83.792969 1543730203.6092
MEM 83.792969 1543730203.7139
MEM 83.792969 1543730203.8156
MEM 83.792969 1543730203.9167
MEM 83.792969 1543730204.0171
MEM 83.792969 1543730204.1223
