CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib_implementation.py
MEM 0.167969 1543728771.9876
MEM 10.332031 1543728772.0899
MEM 17.144531 1543728772.1941
MEM 23.539062 1543728772.2971
MEM 31.617188 1543728772.3974
MEM 44.531250 1543728772.4977
MEM 49.121094 1543728772.5979
MEM 52.796875 1543728772.7005
MEM 54.691406 1543728772.8022
MEM 57.535156 1543728772.9039
MEM 62.429688 1543728773.0071
MEM 66.382812 1543728773.1098
MEM 70.890625 1543728773.2134
MEM 77.164062 1543728773.3177
MEM 79.542969 1543728773.4188
MEM 83.562500 1543728773.5196
MEM 83.585938 1543728773.6249
MEM 83.601562 1543728773.7257
MEM 83.605469 1543728773.8260
MEM 83.609375 1543728773.9268
MEM 83.609375 1543728774.0297
MEM 83.613281 1543728774.1307
MEM 83.613281 1543728774.2310
MEM 83.613281 1543728774.3327
MEM 83.613281 1543728774.4331
MEM 83.613281 1543728774.5345
MEM 83.613281 1543728774.6347
MEM 83.648438 1543728774.7399
MEM 83.648438 1543728774.8431
MEM 83.648438 1543728774.9481
MEM 83.648438 1543728775.0484
MEM 83.648438 1543728775.1487
MEM 83.648438 1543728775.2492
MEM 83.648438 1543728775.3526
MEM 83.648438 1543728775.4534
MEM 83.648438 1543728775.5543
MEM 83.648438 1543728775.6563
MEM 83.648438 1543728775.7599
MEM 83.648438 1543728775.8640
MEM 83.648438 1543728775.9652
MEM 83.648438 1543728776.0676
MEM 83.648438 1543728776.1685
MEM 83.648438 1543728776.2691
MEM 83.648438 1543728776.3712
MEM 83.656250 1543728776.4716
MEM 83.660156 1543728776.5766
MEM 83.660156 1543728776.6801
MEM 83.660156 1543728776.7804
MEM 83.660156 1543728776.8806
MEM 83.660156 1543728776.9829
MEM 83.660156 1543728777.0858
MEM 83.660156 1543728777.1907
MEM 83.667969 1543728777.2959
MEM 83.667969 1543728777.3967
MEM 83.667969 1543728777.4970
MEM 83.667969 1543728777.5987
MEM 83.667969 1543728777.7015
MEM 83.667969 1543728777.8067
MEM 83.667969 1543728777.9103
MEM 83.667969 1543728778.0137
MEM 83.667969 1543728778.1148
MEM 83.667969 1543728778.2157
MEM 83.667969 1543728778.3160
MEM 83.675781 1543728778.4167
MEM 83.675781 1543728778.5181
MEM 83.675781 1543728778.6233
MEM 83.675781 1543728778.7237
MEM 83.675781 1543728778.8259
MEM 83.675781 1543728778.9266
MEM 83.675781 1543728779.0303
MEM 83.675781 1543728779.1316
MEM 83.675781 1543728779.2339
MEM 83.675781 1543728779.3342
MEM 83.675781 1543728779.4394
MEM 83.675781 1543728779.5399
MEM 83.675781 1543728779.6413
MEM 83.675781 1543728779.7427
MEM 83.675781 1543728779.8437
MEM 83.675781 1543728779.9468
MEM 83.675781 1543728780.0483
MEM 83.675781 1543728780.1498
MEM 83.675781 1543728780.2509
MEM 83.675781 1543728780.3513
MEM 83.675781 1543728780.4517
MEM 83.675781 1543728780.5548
MEM 83.675781 1543728780.6572
MEM 83.675781 1543728780.7596
MEM 83.675781 1543728780.8642
MEM 83.675781 1543728780.9658
MEM 83.675781 1543728781.0683
MEM 83.675781 1543728781.1720
MEM 83.675781 1543728781.2772
MEM 83.675781 1543728781.3815
MEM 83.675781 1543728781.4862
MEM 83.675781 1543728781.5914
MEM 83.675781 1543728781.6951
MEM 83.675781 1543728781.7998
