"B_Total_Grappling_Reversals_Landed","R_Total_Grappling_Reversals_Landed","B_Total_Grappling_Standups_Landed","R_Total_Grappling_Standups_Landed","B_Total_Grappling_Submissions_Attempts","R_Total_Grappling_Submissions_Attempts","B_Total_Grappling_Takedowns_Attempts","R_Total_Grappling_Takedowns_Attempts","B_Total_Grappling_Takedowns_Landed","R_Total_Grappling_Takedowns_Landed","B_Total_Strikes_Body Significant Strikes_Attempts","R_Total_Strikes_Body Significant Strikes_Attempts","B_Total_Strikes_Body Significant Strikes_Landed","R_Total_Strikes_Body Significant Strikes_Landed","B_Total_Strikes_Body Total Strikes_Attempts","R_Total_Strikes_Body Total Strikes_Attempts","B_Total_Strikes_Body Total Strikes_Landed","R_Total_Strikes_Body Total Strikes_Landed","B_Total_Strikes_Clinch Total Strikes_Attempts","R_Total_Strikes_Clinch Total Strikes_Attempts","B_Total_Strikes_Clinch Total Strikes_Landed","R_Total_Strikes_Clinch Total Strikes_Landed","B_Total_Strikes_Distance Strikes_Attempts","R_Total_Strikes_Distance Strikes_Attempts","B_Total_Strikes_Distance Strikes_Landed","R_Total_Strikes_Distance Strikes_Landed","B_Total_Strikes_Ground Total Strikes_Attempts","R_Total_Strikes_Ground Total Strikes_Attempts","B_Total_Strikes_Ground Total Strikes_Landed","R_Total_Strikes_Ground Total Strikes_Landed","B_Total_Strikes_Head Total Strikes_Attempts","R_Total_Strikes_Head Total Strikes_Attempts","B_Total_Strikes_Head Total Strikes_Landed","R_Total_Strikes_Head Total Strikes_Landed","B_Total_Strikes_Kicks_Attempts","R_Total_Strikes_Kicks_Attempts","B_Total_Strikes_Kicks_Landed","R_Total_Strikes_Kicks_Landed","B_Total_Strikes_Knock Down_Landed","R_Total_Strikes_Knock Down_Landed","B_Total_Strikes_Legs Total Strikes_Attempts","R_Total_Strikes_Legs Total Strikes_Attempts","B_Total_Strikes_Legs Total Strikes_Landed","R_Total_Strikes_Legs Total Strikes_Landed","B_Total_Strikes_Punches_Attempts","R_Total_Strikes_Punches_Attempts","B_Total_Strikes_Punches_Landed","R_Total_Strikes_Punches_Landed","B_Total_Strikes_Total Strikes_Attempts","R_Total_Strikes_Total Strikes_Attempts","B_Total_Strikes_Total Strikes_Landed","R_Total_Strikes_Total Strikes_Landed","B_Total_TIP_Back Control Time","R_Total_TIP_Back Control Time","B_Total_TIP_Clinch Time","R_Total_TIP_Clinch Time","B_Total_TIP_Control Time","R_Total_TIP_Control Time","B_Total_TIP_Distance Time","R_Total_TIP_Distance Time","B_Total_TIP_Ground Control Time","R_Total_TIP_Ground Control Time","B_Total_TIP_Ground Time","R_Total_TIP_Ground Time","B_Total_TIP_Guard Control Time","R_Total_TIP_Guard Control Time","B_Total_TIP_Half Guard Control Time","R_Total_TIP_Half Guard Control Time","B_Total_TIP_Misc. Ground Control Time","R_Total_TIP_Misc. Ground Control Time","B_Total_TIP_Mount Control Time","R_Total_TIP_Mount Control Time","B_Total_TIP_Neutral Time","R_Total_TIP_Neutral Time","B_Total_TIP_Side Control Time","R_Total_TIP_Side Control Time","B_Total_TIP_Standing Time","R_Total_TIP_Standing Time","BPrev","RPrev","BStreak","RStreak","B_Age","R_Age","B_Height","R_Height","B_ID","R_ID","B_Weight","R_Weight","B_Location","R_Location","Max_round","winner"
"0","0","0","0","0","0","0","3","0","0","0","1","0","1","0","1","0","1","0","1","0","1","0","21","0","7","0","0","0","0","0","18","0","5","0","4","0","3","0","0","0","0","0","0","0","17","0","3","0","22","0","8","0","0","0","7","0","0","0","65","0","0","0","7","0","0","0","0","0","0","0","0","0","72","0","0","0","72","0","1","0","0","33","36","190","187","2252","1694","84","93","Corpus Christi, Texas USA","Dana Point, California USA","3","red"
"0","0","5","1","4","0","21","3","8","0","23","6","15","1","31","6","23","1","78","1","61","1","145","43","49","14","54","3","35","3","222","25","103","6","16","0","9","0","0","1","24","16","19","11","48","0","22","0","277","47","145","18","0","0","581","26","476","3","1063","603","308","2","744","210","107","0","0","0","65","0","136","2","1109","628","0","0","1644","629","3","2","2","0","35","38","165","170","438","1860","61","61","Hollywood, CA USA","Rio de Janeiro Brazil","3","red"
"0","0","1","1","0","1","5","8","2","3","20","28","13","19","30","40","22","30","28","36","21","28","118","173","44","65","43","60","35","49","143","207","64","93","10","16","6","11","0","0","14","20","12","17","42","72","21","37","190","270","101","143","16","33","191","270","263","388","621","917","190","279","371","487","58","75","34","55","14","24","52","71","654","956","14","19","813","1182","0","0","0","0","30","32","167","167","2099","1839","61","61","Cleveland, Ohio USA","San Jose, California USA","3","red"
"0","0","0","0","0","0","0","1","0","0","0","26","0","26","0","48","0","48","0","9","0","9","0","39","0","32","0","130","0","118","0","118","0","99","0","28","0","27","0","0","0","8","0","8","0","155","0","123","0","178","0","159","0","0","0","81","0","513","0","450","0","470","0","508","0","184","0","222","0","64","0","0","0","479","0","0","0","531","0","2","0","0","29","36","213","193","649","808","120","120","Beverwijk The Netherlands","Amsterdam The Netherlands","3","red"
"0","1","0","1","0","0","0","0","0","0","0","25","0","18","0","33","0","26","0","6","0","5","0","204","0","109","0","20","0","20","0","164","0","80","0","34","0","28","0","0","0","33","0","28","0","196","0","106","0","230","0","134","0","0","0","56","0","204","0","663","0","159","0","181","0","63","0","0","0","9","0","0","0","674","0","87","0","719","0","1","0","1","36","33","170","165","1401","2133","61","61","Venice, California USA","Campina Grande, Paraiba Brazil","3","red"
"0","0","0","0","0","2","0","2","0","2","5","4","3","1","5","4","3","1","0","2","0","2","26","37","14","18","1","9","1","9","20","42","10","26","0","2","0","2","1","0","2","2","2","2","0","0","0","0","27","48","15","29","0","0","0","11","1","45","89","146","1","40","1","54","0","7","0","0","0","9","1","24","89","152","0","0","89","157","1","2","1","0","27","30","162","167","2589","2191","61","61","Ramsey, New Jersey USA","Los Angeles, CA USA","3","blue"
"0","0","0","0","2","0","16","0","9","0","47","0","23","0","55","0","31","0","37","0","23","0","254","8","76","5","70","3","55","2","280","4","102","3","86","0","48","0","3","1","18","7","14","4","207","0","102","0","361","11","154","7","0","0","151","0","269","0","1787","0","225","0","658","0","99","0","5","0","111","0","10","0","1877","0","0","0","1938","0","4","1","1","1","31","34","172","177","1976","1493","70","70","Detroit, Michigan USA","San Diego, California USA","3","no contest"
"0","0","0","8","0","0","0","16","0","5","0","38","0","21","0","38","0","21","0","45","0","21","0","203","0","57","0","6","0","3","0","210","0","54","0","4","0","2","0","1","0","4","0","4","0","126","0","41","0","254","0","81","0","0","0","460","0","507","0","835","0","102","0","466","0","47","0","9","0","41","0","5","0","847","0","0","0","1295","0","2","0","0","27","31","167","167","2583","1056","61","56","Gothenburg Sweden","San Diego, CA USA","3","blue"
"0","0","1","3","0","0","1","1","1","0","11","25","9","13","11","35","9","23","19","41","13","32","234","237","94","59","3","44","1","40","225","265","84","91","0","0","0","0","0","1","20","22","15","17","0","0","0","0","256","322","108","131","0","0","19","319","7","46","864","950","7","34","17","547","0","0","0","0","0","0","7","34","870","978","0","0","883","1269","1","2","0","0","28","28","175","175","2843","2785","61","61","Gudalajara, Jalisco Mexico","Kenilworth, New Jersey United States","3","red"
"0","0","0","4","0","0","0","2","0","1","2","28","1","22","2","29","1","23","18","7","9","6","63","184","25","63","16","71","13","59","92","221","43","96","1","37","0","24","1","1","0","12","0","9","32","183","20","69","97","262","47","128","0","34","59","143","39","142","389","1534","17","119","17","393","0","0","0","15","17","30","0","35","394","1567","0","5","448","1677","3","3","3","0","38","34","190","200","1163","1515","120","115","Indianapolis, Indiana USA","San Diego, California United States","3","red"
"0","0","0","0","0","0","0","0","0","0","0","4","0","4","0","4","0","4","0","0","0","0","0","29","0","18","0","15","0","12","0","39","0","25","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","44","0","30","0","0","0","0","0","11","0","69","0","11","0","11","0","5","0","0","0","0","0","6","0","69","0","0","0","69","0","1","0","1","35","31","170","172","2811","1194","63","63","Malmo Sweden","Huntington Beach, California USA","5","red"
"0","0","0","1","0","0","8","53","3","16","29","83","21","45","62","110","54","72","96","91","74","78","143","510","58","222","101","187","89","140","256","554","147","257","19","32","11","20","3","1","22","124","20","111","63","58","53","24","340","788","221","440","23","0","480","969","304","1205","708","3490","272","768","397","858","77","466","100","91","5","56","67","154","772","3592","0","1","1188","4459","6","6","1","0","36","34","182","182","435","1594","84","84","Sunbury, Pennsylvania United States","New York, New York USA","3","blue"
"0","1","0","1","0","2","0","3","0","1","9","18","3","13","10","37","4","32","24","40","20","34","57","173","14","59","1","102","1","65","45","251","10","103","0","12","0","5","1","1","25","27","19","23","0","251","0","125","82","315","35","158","0","0","74","245","62","217","303","1564","0","194","2","875","0","75","0","14","0","0","0","78","305","1618","0","27","377","1809","2","4","1","1","37","31","180","187","1781","786","84","84","Long Island , New York USA","Leiden, Holland The Netherlands","3","red"
"0","0","0","0","0","0","1","2","0","1","6","9","4","6","10","13","7","10","9","12","7","9","39","57","14","21","14","20","11","16","47","69","21","31","3","5","2","3","0","0","4","6","4","5","14","24","7","12","63","90","33","47","5","11","63","90","87","129","207","305","63","93","123","162","19","25","11","18","4","8","17","23","218","318","4","6","271","394","0","0","0","0","38","29","177","185","1296","2656","77","77","Coconut Creek, FL USA","Boca Raton, Florida United States","3","red"
"0","0","13","1","0","3","2","6","1","4","58","18","29","12","59","23","30","17","34","37","18","29","427","81","145","30","60","70","56","64","445","153","174","96","35","36","25","25","2","0","8","3","6","3","130","120","45","87","521","188","219","123","35","42","446","421","433","231","1627","680","306","230","627","734","0","36","195","18","5","30","55","50","1681","752","16","54","2073","1101","3","3","0","0","29","41","177","182","2053","870","77","77","Dallas, Texas USA","Las Vegas, Nevada USA","3","red"
"0","0","1","1","0","1","5","8","2","3","20","28","13","19","30","40","22","30","28","36","21","28","118","173","44","65","43","60","35","49","143","207","64","93","10","16","6","11","0","0","14","20","12","17","42","72","21","37","190","270","101","143","16","33","191","270","263","388","621","917","190","279","371","487","58","75","34","55","14","24","52","71","654","956","14","19","813","1182","0","0","0","0","26","33","162","167","2253","2125","56","56","Baguio City Philippines","Marouba Beach, Sydney Australia","3","red"
"0","0","0","1","0","1","10","4","7","1","6","12","3","10","20","14","17","12","15","40","9","33","22","77","12","23","35","5","32","5","47","90","33","37","0","0","0","0","0","0","5","18","3","12","0","0","0","0","72","122","53","61","0","0","328","290","519","187","133","489","266","67","440","119","38","0","155","0","0","0","73","67","168","507","0","0","461","779","1","1","1","1","26","26","177","190","2586","2739","77","77","Coconut Creek, FL USA","Queens, New York United States","3","blue"
"0","0","0","2","1","0","16","9","6","3","37","5","23","4","47","17","31","16","47","14","34","13","382","127","162","46","67","50","58","40","432","172","207","81","0","3","0","2","0","0","17","2","16","2","26","50","10","32","496","191","254","99","258","140","292","175","707","226","1246","707","442","165","447","222","54","0","21","1","0","19","109","5","1273","768","0","0","1538","882","3","3","2","1","35","32","177","177","648","524","70","70","Las Vegas, Nevada USA","Bridgewater, Massachusetts USA","3","blue"
"0","0","3","3","1","0","8","0","5","0","26","12","19","4","38","12","31","4","71","8","47","3","117","89","35","24","24","0","17","0","163","70","61","13","44","0","21","0","2","0","6","0","5","0","175","0","103","0","212","97","99","27","0","0","372","25","342","0","580","836","139","0","581","34","26","0","7","0","104","0","2","0","612","853","0","0","952","861","3","1","0","0","29","31","177","170","2192","2183","61","61","Visalia, California USA","Castanhal, Para Brazil","3","red"
"0","0","0","1","0","0","2","0","1","0","21","38","15","21","21","40","15","23","19","10","12","8","50","272","21","90","5","6","3","3","48","239","16","70","29","30","23","21","0","1","5","4","5","4","48","276","24","96","74","288","36","101","0","0","70","133","84","4","270","1193","44","4","64","405","25","1","0","0","6","3","0","0","290","1217","13","0","340","1326","1","2","0","0","37","34","167","167","2357","1999","61","61","San Antonio de Padua, Buenos Aires Argentina","Salvador, Bahia Brazil","3","blue"
"0","0","3","3","1","0","0","3","0","1","7","46","5","37","12","62","10","53","18","146","16","114","86","256","35","105","13","46","5","43","97","310","39","144","0","0","0","0","0","2","8","76","7","65","0","0","0","0","117","448","56","262","0","0","155","798","89","411","590","1296","13","74","66","459","0","0","0","16","0","0","13","58","617","1426","0","0","745","2094","3","7","3","0","30","38","193","193","2659","367","113","109","Paris France","Chicago, Illinois USA","3","blue"
"0","0","0","0","1","0","7","0","3","0","6","0","4","0","12","0","10","0","8","0","6","0","31","0","3","0","15","0","11","0","41","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","0","20","0","0","0","5","0","0","0","30","0","0","0","97","0","0","0","0","0","0","0","0","0","33","0","0","0","35","0","2","0","0","0","27","30","170","162","2054","2299","61","56","Honolulu, Hawaii USA","Phoenix, Arizona USA","3","red"
"0","0","0","3","0","1","17","4","3","2","75","15","46","9","109","15","76","9","114","14","90","6","351","87","166","33","71","8","54","4","372","89","187","30","44","34","37","15","1","0","55","5","47","4","186","37","102","12","536","109","310","43","0","0","729","55","934","91","1539","430","435","56","435","366","17","18","336","22","6","0","12","16","1597","449","64","0","2268","485","3","2","3","1","27","24","154","165","2340","2344","52","52","Coconut Creek, Florida United States","Denver, Colorado USA","3","red"
"0","0","2","5","0","3","12","9","10","4","42","33","34","21","110","41","102","28","34","14","30","12","81","126","34","53","190","58","161","52","172","138","106","72","0","0","0","0","0","1","23","19","17","17","0","0","0","0","305","198","225","117","0","138","182","338","646","517","502","775","516","461","754","749","200","126","84","19","0","0","156","58","554","833","76","120","684","1113","3","5","0","0","35","32","185","182","2227","1820","77","77","Montreal, Quebec Canada","Vila Velha, Espirito Santo Brazil","3","blue"
"0","0","0","2","0","0","1","0","0","0","7","33","2","23","7","35","2","25","0","41","0","27","38","187","9","93","5","14","4","14","31","183","10","89","1","15","0","14","1","1","5","24","1","20","5","30","0","15","43","242","13","134","0","0","2","167","2","43","250","945","2","0","6","193","0","0","0","0","0","0","2","0","252","972","0","0","252","1112","2","3","1","1","27","35","193","182","2323","2291","77","77","Kelowna, BC Canada","Los Angeles, California United States","3","red"
"0","0","1","2","2","1","0","27","0","6","53","59","32","22","83","178","61","137","37","102","23","88","173","225","79","86","92","251","80","224","210","311","112","191","9","56","5","30","0","1","9","89","9","70","10","84","9","24","302","578","182","398","0","0","98","635","55","628","554","1370","53","331","456","469","0","208","0","72","40","0","13","42","595","1498","0","9","652","2005","3","4","3","2","33","37","187","180","502","405","77","77","Orlando, Florida USA","Montreal, Quebec Canada","3","red"
"0","0","1","0","3","3","7","3","4","3","14","10","9","7","25","26","20","23","52","14","43","11","47","6","13","1","155","97","109","81","214","84","133","65","0","18","0","15","0","0","15","7","12","5","0","125","0","115","254","117","165","93","17","0","226","49","621","424","96","26","528","424","817","621","147","60","92","173","0","102","191","42","128","75","81","47","322","75","2","2","2","0","27","34","167","167","1511","2017","61","61","Spokane, Washington USA","Denver, Colorado USA","3","blue"
"0","0","0","0","0","0","2","2","0","0","7","9","5","6","11","13","8","9","10","12","8","9","50","55","18","20","16","18","13","14","59","65","26","28","4","4","2","3","0","0","5","6","4","5","20","21","10","10","77","86","40","44","7","9","70","83","97","112","274","294","69","77","133","146","17","20","12","14","6","6","20","20","283","308","4","6","324","376","0","0","0","0","27","36","177","177","2168","1478","70","70","Yorba Linda, California United States","Whippany, NJ USA","3","blue"
"0","0","0","0","1","0","1","0","0","0","2","2","2","1","5","2","5","1","14","5","14","2","9","17","5","3","5","1","5","0","22","21","18","4","0","0","0","0","0","1","1","0","1","0","0","0","0","0","28","23","24","5","0","0","322","32","27","23","135","127","23","0","347","0","12","0","0","0","0","0","11","0","146","134","0","0","457","159","1","1","0","1","29","29","170","170","2259","1993","65","65","Escondido, CA USA","Fortaleza, Ceara Brazil","3","red"
"0","0","1","1","0","1","5","8","2","3","20","28","13","19","30","40","22","30","28","36","21","28","118","173","44","65","43","60","35","49","143","207","64","93","10","16","6","11","0","0","14","20","12","17","42","72","21","37","190","270","101","143","16","33","191","270","263","388","621","917","190","279","371","487","58","75","34","55","14","24","52","71","654","956","14","19","813","1182","0","0","0","0","35","33","172","170","1689","1051","61","61","Buena Park, California USA","Kanagawa Japan","3","red"
"0","1","0","2","0","1","21","44","8","16","56","54","37","35","56","60","37","41","26","18","21","11","396","362","170","154","14","51","11","40","267","318","79","122","0","0","0","0","0","0","113","53","86","42","0","0","0","0","436","431","202","205","0","0","645","487","518","751","2554","2173","166","411","178","949","0","48","25","56","0","0","62","249","2645","2280","79","58","3199","2660","4","4","0","3","36","35","177","167","407","2074","77","70","Draper, Utah United States","Belem, Para Brazil","3","red"
"0","0","0","3","0","1","1","8","0","4","47","40","34","24","87","40","71","24","113","17","94","6","359","232","132","74","53","20","42","11","405","219","170","59","0","34","0","15","0","0","33","10","27","8","0","37","0","12","525","269","268","91","6","0","548","137","148","174","963","1173","104","128","308","438","0","67","7","31","0","0","91","30","1051","1216","0","0","1511","1310","2","3","2","2","31","24","160","165","2678","2344","52","52","Lodz Poland","Denver, Colorado USA","3","blue"
"0","0","0","0","0","0","3","4","1","1","13","16","9","10","20","23","15","17","18","21","14","16","90","100","33","37","28","32","23","26","107","117","46","51","7","8","4","6","0","0","9","12","7","9","37","37","18","18","138","154","72","80","13","17","127","150","174","202","494","530","125","138","240","262","31","36","22","25","11","10","36","36","509","555","8","10","583","677","0","0","0","0","46","35","180","185","129","457","84","93","Temecula, California USA","Curitiba Brazil","5","blue"
"0","0","0","0","0","0","4","4","1","1","15","18","10","12","22","26","17","19","20","24","16","18","100","111","37","41","32","36","26","29","119","130","52","56","8","9","5","6","0","0","10","13","8","10","41","42","20","20","154","172","80","89","14","19","141","167","194","225","549","589","139","154","267","292","35","40","24","28","12","12","40","40","566","617","9","12","648","752","0","0","0","0","32","37","172","172","875","374","70","65","Sunderland England","Las Vegas, Nevada USA","3","blue"
"0","0","0","0","0","0","14","0","5","0","23","0","13","0","23","3","13","3","19","4","6","3","90","23","27","6","1","0","0","0","85","23","18","5","4","0","2","0","0","0","0","1","0","1","126","0","41","0","110","27","33","9","0","0","353","18","449","0","452","126","97","0","97","44","47","0","9","0","41","0","0","0","453","144","0","0","805","144","1","1","0","0","31","34","167","165","1056","1034","56","61","San Diego, CA USA","Boise, ID USA","3","red"
"0","0","1","1","0","1","5","8","2","3","20","28","13","19","30","40","22","30","28","36","21","28","118","173","44","65","43","60","35","49","143","207","64","93","10","16","6","11","0","0","14","20","12","17","42","72","21","37","190","270","101","143","16","33","191","270","263","388","621","917","190","279","371","487","58","75","34","55","14","24","52","71","654","956","14","19","813","1182","0","0","0","0","31","32","190","190","2753","2425","113","120","Warszawa Poland","Fargo, North Dakota United States","3","red"
"0","0","0","5","0","3","23","3","11","2","25","10","14","9","36","18","25","17","63","8","44","4","240","194","76","77","56","73","46","68","300","232","120","116","14","40","9","33","0","1","23","25","21","16","148","263","103","156","359","275","166","149","0","29","907","162","625","222","1489","749","277","180","305","794","84","0","57","0","65","149","52","2","1754","803","19","0","2396","911","3","3","3","3","33","33","177","180","514","1815","70","70","Coconut Creek, Florida USA","Orange County, California United States","3","red"
"0","0","0","7","1","1","33","6","17","4","14","17","11","10","41","19","38","12","25","17","20","13","102","122","34","39","306","7","240","6","377","117","242","39","25","17","19","7","0","0","12","10","12","7","173","85","118","34","433","146","294","58","0","0","267","132","1509","27","655","792","1357","27","1454","390","263","22","294","0","238","5","480","0","750","799","82","0","922","924","4","3","3","1","36","33","187","190","1694","1499","93","93","Dana Point, California USA","Knoxville, Tennessee United States","3","red"
"0","0","1","1","0","0","6","7","2","2","23","27","15","18","34","39","26","29","31","36","24","27","151","167","56","62","48","54","39","44","179","195","78","85","12","14","8","10","0","0","16","20","13","16","62","63","31","31","231","258","120","134","22","29","212","251","291","338","824","884","209","231","401","438","53","60","37","43","19","18","61","61","849","926","14","18","972","1129","0","0","0","0","28","32","177","175","1919","532","70","70","Dagestan Russia","Rio de Janeiro Brazil","3","blue"
"0","0","0","0","0","0","4","5","1","1","17","20","11","13","25","29","19","21","23","27","18","20","113","125","42","46","36","40","29","33","134","146","58","63","9","10","6","7","0","0","12","15","9","12","46","47","23","23","173","193","90","100","16","21","159","188","218","253","618","663","156","173","300","328","39","45","27","32","14","13","45","45","636","694","10","13","729","846","0","0","0","0","27","26","170","177","2705","2704","65","65","Lima Peru","Chicago, Illinois United States","4","blue"
"0","0","0","0","0","0","2","11","1","6","3","29","2","19","5","42","3","31","4","26","2","21","16","141","14","46","54","84","37","55","59","197","41","81","8","15","6","11","1","1","10","12","9","10","54","111","44","61","74","251","53","122","0","0","50","132","192","933","134","467","192","832","615","1201","59","476","31","122","98","88","4","19","181","498","0","127","184","599","2","3","1","0","28","36","172","167","1719","2022","61","61","Miami, Florida USA","Gaffney, South Carolina United States","3","blue"
"0","0","0","0","0","0","0","0","0","0","0","3","0","3","0","3","0","3","0","2","0","2","0","34","0","22","0","0","0","0","0","33","0","21","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","36","0","24","0","0","0","37","0","0","0","237","0","0","0","0","0","0","0","0","0","0","0","0","0","244","0","0","0","274","0","1","0","1","32","25","180","190","525","2510","77","77","Tokyo Japan","Birmingham England","3","red"
"0","0","1","1","0","0","1","0","1","0","2","14","0","9","6","43","4","38","9","53","6","40","6","409","0","164","100","30","59","30","102","396","55","152","0","46","0","40","0","0","7","38","6","34","0","334","0","152","115","492","65","234","17","0","48","209","177","76","11","1384","138","6","180","593","0","6","0","0","0","0","118","0","18","1457","3","0","59","1593","1","3","1","0","27","30","167","167","1511","2099","61","61","Spokane, Washington USA","Cleveland, Ohio USA","3","blue"
"0","0","1","0","4","1","5","27","5","7","21","19","16","12","25","28","20","21","57","91","46","74","70","575","44","235","86","24","71","22","186","541","139","198","0","148","0","129","0","0","2","63","2","59","0","617","0","239","213","690","161","331","0","0","89","699","245","873","235","2013","198","225","407","290","67","11","0","16","0","198","68","0","261","2060","63","0","324","2712","1","2","1","0","36","33","182","175","432","947","77","84","Denver, Colorado USA","Fort Worth, Texas United States","3","red"
"0","0","0","1","0","1","0","1","0","0","0","10","0","4","0","11","0","5","0","12","0","9","0","26","0","8","0","8","0","6","0","35","0","18","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","46","0","23","0","26","0","8","0","41","0","56","0","41","0","41","0","0","0","0","0","0","0","15","0","64","0","0","0","64","0","2","0","0","27","27","182","177","2159","2168","70","70","Boston, Massachusetts USA","Yorba Linda, California United States","3","red"
"0","0","2","0","1","0","11","12","2","5","23","24","18","13","34","27","28","15","26","14","19","12","111","183","45","74","29","65","23","40","112","212","47","91","0","0","0","0","0","3","20","23","12","20","0","0","0","0","166","262","87","126","6","18","267","111","290","475","1109","1290","174","454","400","503","51","57","34","45","0","0","83","327","1191","1319","0","7","1376","1401","3","4","0","0","37","33","182","187","372","507","84","93","Denver, Colorado USA","Tempe, Arizona USA","3","blue"
"0","0","3","3","0","0","0","7","0","4","7","29","7","22","10","41","10","34","42","23","29","12","72","236","32","94","58","22","45","21","149","201","87","55","23","17","18","15","0","0","13","39","9","38","153","74","87","39","172","281","106","127","0","159","133","130","141","449","495","372","111","331","176","398","109","117","0","28","2","19","0","7","528","384","0","1","628","502","1","2","1","2","27","30","182","177","2263","2222","77","70","Glendale, Arizona USA","Chatham, Ontario Canada","3","red"
"0","0","0","0","0","0","0","4","0","2","0","5","0","2","0","24","0","21","0","26","0","22","0","77","0","18","0","45","0","40","0","106","0","43","0","19","0","15","0","0","0","18","0","16","0","158","0","82","0","148","0","80","0","0","0","240","0","320","0","399","0","213","0","261","0","80","0","73","0","60","0","0","0","411","0","0","0","639","0","1","0","1","30","26","175","172","2421","2213","65","65","Dublin Ireland","Coconut Creek, Florida United States","3","red"
"0","0","0","0","0","0","4","0","1","0","18","0","15","0","21","0","18","0","16","0","11","0","126","0","38","0","12","0","12","0","113","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","154","0","61","0","0","0","233","0","127","0","633","0","35","0","35","0","6","0","0","0","0","0","29","0","748","0","0","0","866","0","1","0","1","0","38","29","175","185","1997","1985","70","70","Brasilia, Distrito Federal Brazil","Spokane Valley, Washington USA","3","red"
"0","0","0","0","0","0","3","1","0","0","4","5","3","4","4","15","3","14","1","51","1","43","38","22","12","6","0","22","0","17","35","77","10","50","0","0","0","0","0","0","0","3","0","2","0","0","0","0","39","95","13","66","0","0","45","159","39","1","115","171","0","0","5","208","0","0","0","0","0","0","0","0","121","180","0","0","160","330","1","1","0","0","31","32","187","187","2761","2767","112","114","Avignon France","Kaliningrad City Russia","3","blue"
"0","0","2","0","0","1","14","3","2","0","20","7","10","5","30","47","19","45","28","1","23","1","165","10","53","2","7","193","5","135","141","154","40","91","40","0","26","0","0","0","0","0","0","0","132","0","59","0","200","204","81","138","0","5","238","91","97","615","612","92","40","578","50","930","0","162","11","152","9","0","20","248","648","100","0","11","850","183","1","1","1","1","36","36","182","185","2174","2100","77","77","Belmar, New Jersey USA","Albuquerque, NM USA","3","blue"
"0","0","0","1","0","0","1","18","0","6","15","29","6","23","17","108","8","101","33","15","25","11","114","167","36","53","3","207","2","165","124","271","46","118","0","0","0","0","0","0","9","10","9","10","0","0","0","0","150","389","63","229","0","0","67","90","4","672","818","1067","0","623","13","645","0","483","0","85","0","0","0","55","863","1106","0","0","885","1157","1","2","0","0","24","27","177","170","2795","2705","65","65","Stockton, California USA","Lima Peru","3","red"
"0","0","5","0","0","0","6","8","1","1","31","10","25","4","105","10","97","4","227","0","201","0","269","83","81","24","28","12","25","8","387","66","180","17","0","2","0","2","1","1","32","19","30","11","0","13","0","3","524","95","307","32","0","0","732","82","301","126","473","703","11","67","77","457","3","3","0","0","0","0","8","64","546","722","0","0","1205","785","6","3","0","0","30","28","180","180","2230","1974","65","65","Glendale, Arizona United States","Gilbert, Arizona USA","3","red"
"0","0","0","0","0","0","2","3","0","3","18","10","10","6","23","21","15","17","21","1","9","0","230","81","101","32","1","154","1","127","198","200","66","129","55","22","38","19","0","0","31","15","30","13","197","226","73","135","252","236","111","159","0","0","185","9","11","528","1283","319","0","528","33","528","0","397","0","31","0","100","0","0","1311","328","0","0","1468","328","1","1","1","1","33","35","172","167","1050","451","65","65","Palm Springs, California USA","Toms River, New Jersey United States","5","red"
"0","0","6","3","7","0","29","8","13","2","87","30","65","22","164","30","141","22","132","43","110","24","192","231","66","102","250","10","215","9","332","204","190","73","106","56","61","42","0","0","57","50","43","40","204","90","160","44","574","284","391","135","513","0","794","155","1879","53","1322","1553","1379","31","1820","94","174","0","331","0","107","29","223","2","1411","1641","31","0","2116","1708","5","2","0","0","27","34","170","165","2177","1039","61","61","Uniondale, New York USA","Alpharetta, Georgia  USA","3","red"
"0","0","2","6","0","1","2","1","1","1","12","50","9","26","14","54","11","30","57","28","34","21","96","265","24","82","5","29","3","21","139","244","47","78","0","65","0","38","0","1","5","13","3","10","0","162","0","66","158","322","61","124","0","2","277","421","74","148","563","1354","49","90","54","696","34","0","0","8","0","80","15","0","609","1445","0","0","840","1775","1","4","1","0","29","28","177","177","2422","1755","65","65","San Diego, California USA","Miami, Florida United States","3","red"
"0","0","2","1","2","3","5","1","3","1","38","1","25","0","45","4","32","3","65","0","41","0","179","6","68","1","56","58","46","47","228","60","101","45","0","1","0","1","0","0","27","0","22","0","0","74","0","62","300","64","155","48","0","32","458","45","335","301","605","11","224","301","290","429","0","90","19","98","0","46","204","21","683","31","1","14","1063","56","2","1","1","1","25","32","162","162","2306","2343","52","52","Ewa Beach, Hawaii USA","Crystal Lake, Illinois USA","3","red"
