"B_Total_Grappling_Reversals_Landed","R_Total_Grappling_Reversals_Landed","B_Total_Grappling_Standups_Landed","R_Total_Grappling_Standups_Landed","B_Total_Grappling_Submissions_Attempts","R_Total_Grappling_Submissions_Attempts","B_Total_Grappling_Takedowns_Attempts","R_Total_Grappling_Takedowns_Attempts","B_Total_Grappling_Takedowns_Landed","R_Total_Grappling_Takedowns_Landed","B_Total_Strikes_Body Significant Strikes_Attempts","R_Total_Strikes_Body Significant Strikes_Attempts","B_Total_Strikes_Body Significant Strikes_Landed","R_Total_Strikes_Body Significant Strikes_Landed","B_Total_Strikes_Body Total Strikes_Attempts","R_Total_Strikes_Body Total Strikes_Attempts","B_Total_Strikes_Body Total Strikes_Landed","R_Total_Strikes_Body Total Strikes_Landed","B_Total_Strikes_Clinch Total Strikes_Attempts","R_Total_Strikes_Clinch Total Strikes_Attempts","B_Total_Strikes_Clinch Total Strikes_Landed","R_Total_Strikes_Clinch Total Strikes_Landed","B_Total_Strikes_Distance Strikes_Attempts","R_Total_Strikes_Distance Strikes_Attempts","B_Total_Strikes_Distance Strikes_Landed","R_Total_Strikes_Distance Strikes_Landed","B_Total_Strikes_Ground Total Strikes_Attempts","R_Total_Strikes_Ground Total Strikes_Attempts","B_Total_Strikes_Ground Total Strikes_Landed","R_Total_Strikes_Ground Total Strikes_Landed","B_Total_Strikes_Head Total Strikes_Attempts","R_Total_Strikes_Head Total Strikes_Attempts","B_Total_Strikes_Head Total Strikes_Landed","R_Total_Strikes_Head Total Strikes_Landed","B_Total_Strikes_Kicks_Attempts","R_Total_Strikes_Kicks_Attempts","B_Total_Strikes_Kicks_Landed","R_Total_Strikes_Kicks_Landed","B_Total_Strikes_Knock Down_Landed","R_Total_Strikes_Knock Down_Landed","B_Total_Strikes_Legs Total Strikes_Attempts","R_Total_Strikes_Legs Total Strikes_Attempts","B_Total_Strikes_Legs Total Strikes_Landed","R_Total_Strikes_Legs Total Strikes_Landed","B_Total_Strikes_Punches_Attempts","R_Total_Strikes_Punches_Attempts","B_Total_Strikes_Punches_Landed","R_Total_Strikes_Punches_Landed","B_Total_Strikes_Total Strikes_Attempts","R_Total_Strikes_Total Strikes_Attempts","B_Total_Strikes_Total Strikes_Landed","R_Total_Strikes_Total Strikes_Landed","B_Total_TIP_Back Control Time","R_Total_TIP_Back Control Time","B_Total_TIP_Clinch Time","R_Total_TIP_Clinch Time","B_Total_TIP_Control Time","R_Total_TIP_Control Time","B_Total_TIP_Distance Time","R_Total_TIP_Distance Time","B_Total_TIP_Ground Control Time","R_Total_TIP_Ground Control Time","B_Total_TIP_Ground Time","R_Total_TIP_Ground Time","B_Total_TIP_Guard Control Time","R_Total_TIP_Guard Control Time","B_Total_TIP_Half Guard Control Time","R_Total_TIP_Half Guard Control Time","B_Total_TIP_Misc. Ground Control Time","R_Total_TIP_Misc. Ground Control Time","B_Total_TIP_Mount Control Time","R_Total_TIP_Mount Control Time","B_Total_TIP_Neutral Time","R_Total_TIP_Neutral Time","B_Total_TIP_Side Control Time","R_Total_TIP_Side Control Time","B_Total_TIP_Standing Time","R_Total_TIP_Standing Time","BPrev","RPrev","BStreak","RStreak","B_Age","R_Age","B_Height","R_Height","B_ID","R_ID","B_Weight","R_Weight","B_Location","R_Location","Max_round","winner"
"0","0","3","0","4","0","20","0","5","0","29","0","17","0","51","0","37","0","28","0","20","0","189","0","74","0","142","0","123","0","248","0","128","0","0","0","0","0","0","0","60","0","52","0","0","0","0","0","359","0","217","0","18","0","173","0","376","0","1216","0","292","0","1316","0","112","0","3","0","0","0","136","0","1255","0","23","0","1389","0","4","0","0","0","36","23","175","172","2041","2570","65","65","Glendale, Arizona USA","Trimley St. Martin, Suffolk England","3","red"
"0","0","0","0","0","0","4","4","1","1","15","18","10","12","22","26","17","19","20","24","16","18","100","111","37","41","32","36","26","29","119","130","52","56","8","9","5","6","0","0","10","13","8","10","41","42","20","20","154","172","80","89","14","19","141","167","194","225","549","589","139","154","267","292","35","40","24","28","12","12","40","40","566","617","9","12","648","752","0","0","0","0","27","27","177","177","2502","2301","70","70","Fife Scotland","Lodz Poland","3","blue"
"0","0","0","0","0","0","3","5","1","2","13","18","8","12","20","26","14","20","18","24","14","18","78","115","29","43","28","40","23","32","95","138","42","62","6","10","4","7","0","0","9","13","8","11","28","48","14","24","126","180","67","95","10","22","127","180","175","258","414","611","126","186","247","324","38","50","22","36","9","16","34","47","436","637","9","12","542","788","0","0","0","0","30","32","182","180","2250","2249","77","84","Rio de Janeiro Brazil","Huntington Beach, California USA","3","red"
"0","0","0","3","0","0","0","0","0","0","0","8","0","4","0","11","0","7","0","4","0","4","0","135","0","38","0","12","0","11","0","139","0","45","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","151","0","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","44","38","177","185","1001","368","84","84","San Jose, California USA","Manchester England","5","red"
"0","1","0","2","2","1","13","2","7","0","30","50","17","33","42","62","28","45","61","87","45","77","132","144","59","62","98","49","79","46","243","173","150","101","0","0","0","0","0","1","6","45","5","39","0","0","0","0","291","280","183","185","89","15","164","285","372","345","866","383","285","121","355","162","0","42","14","36","0","0","87","28","942","398","95","0","1030","668","3","2","3","2","30","25","190","190","2608","2076","93","93","Toronto, Ontario Canada","Donetsk Ukraine","3","blue"
"0","0","1","0","0","0","1","10","1","6","31","11","25","6","32","17","26","12","20","30","18","19","246","68","96","23","2","148","2","119","211","215","69","136","68","0","50","0","1","1","25","3","21","3","79","117","41","87","268","246","116","161","0","77","166","219","93","553","1490","726","3","425","146","426","0","0","0","193","2","58","0","71","1509","743","1","26","1656","945","2","3","2","2","30","32","190","182","2234","1850","109","118","The Republic of Dagestan Russia","Baton Rouge, Louisiana USA","3","blue"
"0","0","0","0","0","0","5","8","0","1","24","14","10","10","28","20","14","16","32","48","22","34","114","60","34","15","11","11","8","10","126","90","48","35","4","11","3","10","0","0","3","9","2","8","195","118","121","68","157","119","64","59","0","0","82","217","30","260","723","149","0","47","94","47","0","0","0","0","0","47","0","0","759","153","0","0","805","366","1","1","0","0","33","34","175","175","890","778","70","70","Boca Raton, Florida United States","San Francisco, California USA","3","blue"
"0","0","0","0","0","0","3","5","1","2","13","18","8","12","20","26","14","20","18","24","14","18","78","115","29","43","28","40","23","32","95","138","42","62","6","10","4","7","0","0","9","13","8","11","28","48","14","24","126","180","67","95","10","22","127","180","175","258","414","611","126","186","247","324","38","50","22","36","9","16","34","47","436","637","9","12","542","788","0","0","0","0","35","31","172","170","2219","2220","61","61","Homestead, Florida USA","Ventura, California USA","3","red"
"0","0","0","0","0","0","1","1","0","0","4","5","2","3","6","8","4","6","5","7","4","5","23","34","8","13","8","12","7","9","28","41","12","18","2","3","1","2","0","0","2","4","2","3","8","14","4","7","38","54","20","28","3","6","38","54","52","77","124","183","38","55","74","97","11","15","6","11","2","4","10","14","130","191","2","3","162","236","0","0","0","0","36","30","167","170","2022","1828","61","61","Gaffney, South Carolina United States","Venice, California USA","5","red"
"0","0","1","1","0","0","5","7","2","2","20","27","13","18","30","39","22","29","28","36","21","27","118","167","44","62","43","54","35","44","143","195","64","85","10","14","6","10","0","0","14","20","12","16","42","63","21","31","190","258","101","134","16","29","191","251","263","338","621","884","190","231","371","438","58","60","34","43","14","18","52","61","654","926","14","18","813","1129","0","0","0","0","33","41","182","187","506","235","84","84","Stockton, California USA","Curitiba Brazil","5","no contest"
