CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib_implementation.py
MEM 0.195312 1543885854.3602
MEM 9.781250 1543885854.4621
MEM 18.503906 1543885854.5643
MEM 27.992188 1543885854.6692
MEM 43.570312 1543885854.7712
MEM 49.195312 1543885854.8715
MEM 52.921875 1543885854.9741
MEM 55.816406 1543885855.0760
MEM 57.863281 1543885855.1766
MEM 62.019531 1543885855.2781
MEM 65.949219 1543885855.3808
MEM 69.433594 1543885855.4817
MEM 77.445312 1543885855.5867
MEM 79.878906 1543885855.6912
MEM 85.308594 1543885855.7928
MEM 85.765625 1543885855.8949
MEM 86.003906 1543885856.0001
MEM 86.328125 1543885856.1043
MEM 86.343750 1543885856.2044
MEM 86.343750 1543885856.3053
MEM 86.355469 1543885856.4057
MEM 86.542969 1543885856.5096
MEM 86.667969 1543885856.6106
MEM 86.671875 1543885856.7114
MEM 86.683594 1543885856.8117
MEM 86.792969 1543885856.9154
MEM 86.792969 1543885857.0164
MEM 87.019531 1543885857.1206
MEM 87.031250 1543885857.2252
MEM 87.050781 1543885857.3291
MEM 87.066406 1543885857.4340
MEM 87.195312 1543885857.5382
MEM 87.195312 1543885857.6420
MEM 87.195312 1543885857.7426
MEM 87.195312 1543885857.8445
MEM 87.199219 1543885857.9480
MEM 87.207031 1543885858.0482
MEM 87.226562 1543885858.1509
MEM 87.332031 1543885858.2551
MEM 87.437500 1543885858.3576
MEM 87.460938 1543885858.4625
MEM 87.464844 1543885858.5661
MEM 87.468750 1543885858.6688
MEM 87.468750 1543885858.7738
MEM 87.468750 1543885858.8768
MEM 87.601562 1543885858.9819
MEM 87.601562 1543885859.0871
MEM 87.601562 1543885859.1884
MEM 87.605469 1543885859.2895
MEM 87.609375 1543885859.3917
MEM 87.609375 1543885859.4957
MEM 87.609375 1543885859.6001
MEM 87.609375 1543885859.7004
MEM 87.613281 1543885859.8056
MEM 87.617188 1543885859.9083
MEM 87.625000 1543885860.0090
MEM 87.625000 1543885860.1130
MEM 87.867188 1543885860.2132
MEM 87.886719 1543885860.3138
MEM 87.941406 1543885860.4151
MEM 87.941406 1543885860.5203
MEM 87.976562 1543885860.6255
MEM 88.000000 1543885860.7281
MEM 88.000000 1543885860.8283
MEM 88.000000 1543885860.9287
MEM 88.132812 1543885861.0313
MEM 88.132812 1543885861.1361
MEM 88.246094 1543885861.2386
MEM 88.246094 1543885861.3417
MEM 88.246094 1543885861.4423
MEM 88.367188 1543885861.5475
MEM 88.367188 1543885861.6476
MEM 88.488281 1543885861.7509
MEM 88.503906 1543885861.8530
MEM 88.511719 1543885861.9539
MEM 88.511719 1543885862.0572
MEM 88.511719 1543885862.1587
MEM 88.511719 1543885862.2593
MEM 88.511719 1543885862.3613
MEM 88.511719 1543885862.4652
MEM 88.648438 1543885862.5703
MEM 88.777344 1543885862.6711
MEM 88.777344 1543885862.7735
MEM 88.777344 1543885862.8736
MEM 88.777344 1543885862.9755
MEM 88.777344 1543885863.0803
MEM 88.781250 1543885863.1854
MEM 88.781250 1543885863.2864
MEM 88.781250 1543885863.3868
MEM 88.800781 1543885863.4889
MEM 88.804688 1543885863.5941
MEM 89.015625 1543885863.6962
MEM 89.019531 1543885863.7972
MEM 89.023438 1543885863.8983
MEM 89.023438 1543885863.9985
MEM 89.023438 1543885864.0997
MEM 89.093750 1543885864.2009
MEM 89.109375 1543885864.3046
MEM 89.109375 1543885864.4050
MEM 89.109375 1543885864.5102
MEM 89.109375 1543885864.6126
MEM 89.128906 1543885864.7155
MEM 89.144531 1543885864.8207
MEM 89.152344 1543885864.9259
MEM 89.160156 1543885865.0281
MEM 89.160156 1543885865.1333
MEM 89.281250 1543885865.2370
MEM 89.281250 1543885865.3422
MEM 89.281250 1543885865.4432
MEM 89.281250 1543885865.5456
MEM 89.281250 1543885865.6508
MEM 89.289062 1543885865.7550
MEM 89.289062 1543885865.8589
MEM 89.554688 1543885865.9594
MEM 89.554688 1543885866.0646
MEM 89.554688 1543885866.1649
MEM 89.554688 1543885866.2652
MEM 89.664062 1543885866.3689
MEM 89.664062 1543885866.4740
MEM 89.664062 1543885866.5757
MEM 89.664062 1543885866.6810
MEM 89.664062 1543885866.7843
MEM 89.667969 1543885866.8895
MEM 89.667969 1543885866.9924
MEM 89.667969 1543885867.0972
MEM 89.671875 1543885867.2007
MEM 89.671875 1543885867.3038
MEM 89.781250 1543885867.4057
MEM 89.781250 1543885867.5109
MEM 89.781250 1543885867.6161
MEM 89.781250 1543885867.7201
MEM 89.781250 1543885867.8253
MEM 89.781250 1543885867.9257
MEM 89.781250 1543885868.0309
MEM 89.796875 1543885868.1337
MEM 89.796875 1543885868.2348
MEM 89.796875 1543885868.3352
MEM 89.796875 1543885868.4367
MEM 89.812500 1543885868.5397
MEM 89.812500 1543885868.6400
MEM 89.824219 1543885868.7423
