CMDLINE /usr/local/opt/python@2/bin/python2.7 test_lib_implementation.py
MEM 83.882812 1543728531.7149
MEM 83.882812 1543728531.8184
MEM 83.882812 1543728531.9198
MEM 83.882812 1543728532.0236
MEM 83.882812 1543728532.1268
MEM 83.882812 1543728532.2316
MEM 83.882812 1543728532.3330
MEM 83.882812 1543728532.4350
MEM 83.882812 1543728532.5352
MEM 83.882812 1543728532.6356
MEM 83.882812 1543728532.7385
MEM 83.882812 1543728532.8412
MEM 83.882812 1543728532.9422
MEM 83.882812 1543728533.0437
MEM 83.882812 1543728533.1482
MEM 83.882812 1543728533.2519
MEM 83.882812 1543728533.3521
MEM 83.882812 1543728533.4566
MEM 83.882812 1543728533.5603
MEM 83.882812 1543728533.6608
MEM 83.882812 1543728533.7648
MEM 83.882812 1543728533.8652
MEM 83.882812 1543728533.9684
MEM 83.882812 1543728534.0736
MEM 83.882812 1543728534.1750
MEM 83.882812 1543728534.2753
MEM 83.882812 1543728534.3764
MEM 83.882812 1543728534.4767
MEM 83.882812 1543728534.5781
MEM 83.882812 1543728534.6818
MEM 83.882812 1543728534.7836
MEM 83.882812 1543728534.8881
MEM 42.093750 1543728534.9886
MEM 41.664062 1543728535.0938
MEM 40.566406 1543728535.1975
MEM 40.566406 1543728535.3018
MEM 40.566406 1543728535.4032
MEM 40.566406 1543728535.5041
MEM 40.566406 1543728535.6049
MEM 40.570312 1543728535.7054
MEM 40.574219 1543728535.8057
MEM 40.578125 1543728535.9085
MEM 40.578125 1543728536.0108
MEM 40.574219 1543728536.1111
MEM 40.574219 1543728536.2119
MEM 40.585938 1543728536.3139
MEM 40.585938 1543728536.4167
MEM 40.589844 1543728536.5183
MEM 40.589844 1543728536.6188
MEM 40.589844 1543728536.7196
MEM 40.589844 1543728536.8238
MEM 40.593750 1543728536.9245
MEM 40.601562 1543728537.0282
MEM 40.605469 1543728537.1292
MEM 40.609375 1543728537.2345
MEM 40.609375 1543728537.3347
MEM 40.613281 1543728537.4364
MEM 44.402344 1543728537.5405
MEM 44.417969 1543728537.6414
MEM 44.417969 1543728537.7442
MEM 44.417969 1543728537.8453
MEM 44.417969 1543728537.9502
MEM 44.417969 1543728538.0518
MEM 44.417969 1543728538.1569
MEM 44.417969 1543728538.2631
MEM 44.417969 1543728538.3682
MEM 44.417969 1543728538.4734
MEM 44.417969 1543728538.5747
MEM 44.417969 1543728538.6749
MEM 44.417969 1543728538.7752
MEM 44.417969 1543728538.8763
MEM 44.417969 1543728538.9797
MEM 44.417969 1543728539.0848
MEM 44.417969 1543728539.1881
MEM 44.417969 1543728539.2888
MEM 44.417969 1543728539.3899
MEM 44.417969 1543728539.4944
MEM 44.417969 1543728539.5978
MEM 44.421875 1543728539.7017
MEM 44.421875 1543728539.8067
MEM 44.421875 1543728539.9076
MEM 44.421875 1543728540.0078
MEM 44.425781 1543728540.1081
MEM 44.425781 1543728540.2085
MEM 44.425781 1543728540.3087
MEM 44.425781 1543728540.4095
MEM 44.425781 1543728540.5129
MEM 44.425781 1543728540.6131
MEM 44.425781 1543728540.7143
